Word,Count pos,Count neg
+beautiful,1.0,0.0
aadmittedly,0.0,1.0
aatish,1.0,0.0
able,0.5965463108320251,0.40345368916797486
ably,0.8,0.2
abnormal,0.0,1.0
abominable,0.21428571428571427,0.7857142857142857
abominably,0.5,0.5
aboriginal,0.6129032258064516,0.3870967741935484
aborted,0.5714285714285714,0.42857142857142855
abrahamic,0.0,1.0
abrasive,0.6,0.4
abrasively,0.0,1.0
abroad,0.4666666666666667,0.5333333333333333
abruptly,0.391304347826087,0.6086956521739131
absentmindedly,0.0,1.0
absolutelly,1.0,0.0
absolutely,0.43167701863354035,0.5683229813664596
absolutly,0.8,0.2
absoulely,1.0,0.0
absurdly,0.375,0.625
abundantly,0.3333333333333333,0.6666666666666666
abusive,0.6470588235294118,0.35294117647058826
abysmally,0.0,1.0
academic,0.3076923076923077,0.6923076923076923
acceptable,0.3939393939393939,0.6060606060606061
accepted,0.6078431372549019,0.39215686274509803
accesible,0.0,1.0
accessible,0.72,0.28
accidentally,0.3488372093023256,0.6511627906976745
accidently,0.6666666666666666,0.3333333333333333
accidentthat,0.0,1.0
accordian,1.0,0.0
accordingly,0.3333333333333333,0.6666666666666666
accountable,0.0,1.0
accurately,0.6,0.4
accuratelymaybe,0.0,1.0
achingly,0.7777777777777778,0.2222222222222222
achive,0.0,1.0
acoustic,0.0,1.0
acrobatic,0.25,0.75
acronymic,0.0,1.0
actally,0.0,1.0
actedparticularly,1.0,0.0
actingdirectingeffectsmusic,1.0,0.0
actingthere,0.0,1.0
actionish,0.0,1.0
active,0.5714285714285714,0.42857142857142855
actively,0.42857142857142855,0.5714285714285714
actorscary,1.0,0.0
actorsmaybe,0.0,1.0
actorsrealistic,1.0,0.0
actual,0.44050632911392407,0.5594936708860759
actually,0.40604575163398693,0.5939542483660131
actuallythere,0.0,1.0
acually,0.0,1.0
acutely,0.5,0.5
adamantly,0.5,0.5
adaptable,0.0,1.0
addictive,0.75,0.25
additional,0.5625,0.4375
additionally,0.34782608695652173,0.6521739130434783
adeptly,1.0,0.0
adequateamrish,0.0,1.0
adequately,0.4,0.6
adhere,0.3333333333333333,0.6666666666666666
adhesive,0.0,1.0
adjective,0.4,0.6
admarible,1.0,0.0
administrative,0.6666666666666666,0.3333333333333333
admirable,0.5,0.5
admirably,0.8,0.2
admiral,0.6,0.4
admissible,1.0,0.0
admittadly,0.0,1.0
admittedly,0.44,0.56
admittingly,0.0,1.0
admonish,1.0,0.0
adoptive,0.8571428571428571,0.14285714285714285
adorable,0.8409090909090909,0.1590909090909091
adorably,1.0,0.0
adoringly,1.0,0.0
adrian,0.5,0.5
adriatic,0.0,1.0
